id,entrez_gene_id,hugo_symbol,hgnc_id,id,reference_genome,ensembl_transcript_id,canonical,ensembl_protein_id,reference_sequence_id,description,ensembl_gene_id,gene_id
23762,3207,HOXA11,5101,5689,GRCh38,ENST00000006015.4,1,ENSP00000006015.3,NM_005523,,4795,23762
12129,972,CD74,1697,1806,GRCh38,ENST00000009530.13,1,ENSP00000009530.7,NM_001025159,,1530,12129
23416,608,TNFRSF17,11913,1106,GRCh38,ENST00000053243.6,1,ENSP00000053243.1,NM_001192,,939,23416
32931,2767,GNA11,4379,4773,GRCh38,ENST00000078429.9,1,ENSP00000078429.3,NM_002067.2,,4022,32931
32410,933,CD22,1643,1725,GRCh38,ENST00000085219.10,1,ENSP00000085219.4,NM_001771,,1458,32410
23404,602,BCL3,998,1093,GRCh38,ENST00000164227.10,1,ENSP00000164227.5,NM_005178,,929,23404
18194,9319,TRIP13,12307,15957,GRCh38,ENST00000166345.8,1,ENSP00000166345.3,NM_004237.3,,13440,18194
39046,2249,FGF4,3682,4052,GRCh38,ENST00000168712.3,1,ENSP00000168712.1,NM_002007.2,,3423,39046
9087,9817,KEAP1,23177,16967,GRCh38,ENST00000171111.10,1,ENSP00000171111.4,NM_203500.1,,14274,9087
4199,57103,TIGAR,1185,30152,GRCh38,ENST00000179259.6,1,ENSP00000179259.4,NM_020375,,25658,4199
40700,3294,HSD17B2,5211,5827,GRCh38,ENST00000199936.9,1,ENSP00000199936,NM_002153,,4913,40700
11607,10683,DLL3,2909,18762,GRCh38,ENST00000205143.4,1,ENSP00000205143,,,15753,11607
24628,2099,ESR1,3467,3766,GRCh38,ENST00000206249.8,1,ENSP00000206249.3,NM_001122740.1,,3189,24628
33250,5594,MAPK1,6871,9775,GRCh38,ENST00000215832.11,1,ENSP00000215832.7,NM_002745.4,,8234,33250
11486,7494,XBP1,12801,13342,GRCh38,ENST00000216037.10,1,ENSP00000216037,NM_005080.3,,11232,11486
24144,3320,HSP90AA1,5253,5871,GRCh38,ENST00000216281.13,1,ENSP00000216281.8,NM_005348,,4953,24144
39010,328,APEX1,587,619,GRCh38,ENST00000216714.8,1,ENSP00000216714.3,NM_001641.4,,513,39010
27389,4792,NFKBIA,7797,8270,GRCh38,ENST00000216797.10,1,ENSP00000216797.6,NM_020529.2,,6983,27389
